,Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
285,Stratton Mountain,Vermont,Vermont,3875,2003,1872,1,0.0,4,1,2,1,1,1,11,,4.0,,,,,58.0,,57.91695652173913,64.1668100358423,,0.0
286,Sugarbush,Vermont,Vermont,4083,2600,1483,0,0.0,0,5,5,2,1,3,16,,4.0,,,,,61.0,,119.0,119.0,,0.0
287,Suicide Six,Vermont,Vermont,1200,650,550,0,0.0,0,0,0,0,2,1,3,,0.0,,,,,85.0,,45.0,75.0,,0.0
288,Bryce Resort,Virginia,Virginia,1750,500,1250,0,0.0,0,0,1,0,1,5,7,,0.0,,,,,54.0,,43.0,68.0,,20.0
289,Massanutten,Virginia,Virginia,2925,1110,1750,0,0.0,0,0,3,1,0,3,7,,2.0,,,,,46.0,,57.91695652173913,64.1668100358423,,70.0
290,The Homestead Ski Area,Virginia,Virginia,3200,700,2500,0,0.0,0,0,0,0,1,1,2,,0.0,,,,,60.0,,57.91695652173913,64.1668100358423,,0.0
291,Wintergreen Resort,Virginia,Virginia,3515,1003,2512,0,0.0,2,0,1,1,1,0,5,,2.0,,,,,44.0,,59.0,64.1668100358423,,45.0
292,49 Degrees North,Washington,Washington,5774,1851,3932,0,0.0,0,0,1,0,5,1,7,,1.0,,,,,48.0,,62.0,62.0,,250.0
293,Alpental,Washington,Washington,5420,2280,3140,0,0.0,0,1,0,0,3,1,5,,0.0,,,,,52.0,,57.91695652173913,64.1668100358423,,121.0
294,Bluewood,Washington,Washington,5670,1125,4545,0,0.0,0,0,0,2,0,1,3,,2.0,,,,,40.0,,42.0,47.0,,0.0
295,Crystal Mountain,Washington,Washington,7012,3100,4400,1,0.0,2,2,1,2,2,0,10,,1.0,,,,,57.0,,99.0,99.0,,0.0
296,Mission Ridge,Washington,Washington,6820,2250,4570,0,0.0,0,1,0,0,3,2,6,,3.0,,,,,53.0,,57.91695652173913,64.1668100358423,,500.0
297,Mt. Baker,Washington,Washington,5000,1500,3500,0,0.0,0,0,8,0,0,2,10,,0.0,,,,,66.0,,53.75,60.01,,0.0
298,Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0.0,0,0,0,1,5,1,7,,3.0,,,,,81.0,,45.0,59.0,,45.0
299,Stevens Pass Resort,Washington,Washington,5845,1800,4061,0,0.0,0,3,0,4,3,0,10,,4.0,,,,,82.0,,57.91695652173913,64.1668100358423,,450.0
300,The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0.0,0,3,3,4,10,7,27,,5.0,,,,,82.0,,85.0,95.0,,541.0
301,White Pass,Washington,Washington,6550,2050,4500,0,0.0,0,2,1,1,2,2,8,,2.0,,,,,67.0,,69.0,69.0,,90.0
302,Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0.0,0,0,1,2,0,1,4,,1.0,,,,,48.0,,52.0,68.0,,0.0
303,Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0.0,0,3,2,6,0,3,14,,5.0,,,,,46.0,,70.0,87.0,,86.0
304,Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0.0,0,0,0,2,1,1,4,,1.0,,,,,37.0,,72.0,92.0,,27.0
305,Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0.0,0,0,2,3,2,2,9,,2.0,,,,,36.0,,56.0,72.0,,74.0
306,Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0.0,0,3,0,3,1,5,12,,3.0,,,,,55.0,,56.0,65.0,,90.0
307,Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0.0,0,0,0,1,0,4,5,,2.0,,,,,71.0,,33.0,25.0,,30.0
308,Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0.0,0,2,2,3,2,3,12,,4.0,,,,,57.0,,59.0,64.0,,0.0
309,Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0.0,0,0,0,0,1,5,6,,4.0,,,,,43.0,,28.0,38.0,,35.0
310,Christmas Mountain,Wisconsin,Wisconsin,1250,250,1000,0,0.0,0,0,1,0,0,2,3,,0.0,,,,,50.0,,57.91695652173913,64.1668100358423,,40.0
311,Devils Head,Wisconsin,Wisconsin,995,500,495,0,0.0,0,0,3,1,6,2,12,,1.0,,,,,48.0,,45.0,65.0,,200.0
312,Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0.0,0,0,0,0,3,3,6,,1.0,,,,,25.0,,28.0,49.0,,30.0
313,Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,0.0,1,2,0,2,0,2,7,,4.0,,,,,82.0,,92.0,92.0,,200.0
314,Little Switzerland,Wisconsin,Wisconsin,1269,200,1069,0,0.0,0,0,0,0,4,4,8,,3.0,,,,,0.0,,33.0,41.0,,50.0
315,Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0.0,0,0,0,0,3,1,4,,1.0,,,,,60.0,,56.0,56.0,,90.0
316,Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0.0,0,0,0,1,1,5,7,,4.0,,,,,43.0,,57.91695652173913,47.0,,60.0
317,Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0.0,0,0,0,0,3,6,9,,4.0,,,,,59.0,,33.0,44.0,,37.0
318,Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0.0,0,0,2,0,1,5,8,,4.0,,,,,69.0,,54.0,54.0,,86.0
319,Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0.0,0,0,0,3,0,2,5,,5.0,,,,,61.0,,17.0,48.0,,32.0
320,Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,0.0,0,0,1,0,4,0,5,,1.0,,,,,57.0,,60.0,60.0,,0.0
321,Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,0.0,0,0,3,2,2,3,10,,2.0,,,,,81.0,,56.0,66.0,,135.0
322,Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0.0,0,2,2,0,0,1,5,,1.0,,,,,50.0,,90.0,90.0,,0.0
323,Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,0.0,0,0,0,0,1,1,2,,1.0,,,,,61.0,,48.0,48.0,,0.0
324,Jackson Hole,Wyoming,Wyoming,10450,4139,6311,3,0.0,0,4,4,1,2,1,15,,6.0,,,,,54.0,,57.91695652173913,64.1668100358423,,0.0
325,Meadowlark Ski Lodge,Wyoming,Wyoming,9500,1000,8500,0,0.0,0,0,0,1,1,1,3,,1.0,,,,,9.0,,57.91695652173913,64.1668100358423,,0.0
326,Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0.0,0,0,0,1,1,1,3,,1.0,,,,,81.0,,42.0,42.0,,0.0
327,Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0.0,0,0,1,1,1,0,3,,2.0,,,,,80.0,,59.0,59.0,,110.0
328,Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663,990,8798,0,0.0,0,0,0,1,3,1,5,,2.0,,,,,59.0,,49.0,49.0,,0.0
329,White Pine Ski Area,Wyoming,Wyoming,9500,1100,8400,0,0.0,0,0,0,2,0,0,2,,0.0,,,,,81.0,,57.91695652173913,49.0,,0.0
